,Name,Overview,Genres,Origin Country,Origin Country Detailed,Original Language,Original Language Detailed,Original Name,First Air Date,Year,Total Fans,Combined Average Score,TMDB Popularity,TMDB Users,TMDB Vote Average,Anilist Users,Anilist Average Score,Source Material,Is Adult,TMDB ID,Anilist ID
471,Nil Admirari no Tenbin: Teito Genwaku Kitan,"It's the 25th year of the Taisho Era in Imperial Tokyo.  Kuze Tsugumi, daughter of aristocrats, agrees to be married to save her family from decline. But before she goes through with it, her younger brother Hitaki gets her involved in an incident caused by a ""maremono,"" a type of book that casts a great influence on whoever reads it.  As a result, Tsugumi gains the power to see ""aura,"" a light that represents the emotions that dwell within a maremono.  This is the story of a woman whose destiny seems to sway up and down, as if on the delicate balance of a scale.",'Romance',Japan Only,'Japan',Japanese,Japanese,ãƒ‹ãƒ«ãƒ»ã‚¢ãƒ‰ãƒŸãƒ©ãƒªã®å¤©ç§¤ å¸éƒ½å¹»æƒ‘ç¶ºè­š,8/4/2018,2018,106,70.74528302,3.366,5,5,101,74,Visual Novel,FALSE,78475,109533
472,You Don't Know GUNMA Yet.,"Nori Kamitsuki moved from Chiba to Gunma prefecture as he begins to attend high school. There, he has received a warning from his classmate that ""No one comes back alive from Gunma,"" and found more negative information as he looked it up on the net. In the midst of confusion and extreme culture shock, he has gotten himself involved with Gunma's rivals, Tochigi and Ibaraki prefecture.",'Comedy',Japan Only,'Japan',Japanese,Japanese,ãŠå‰ã¯ã¾ã ã‚°ãƒ³ãƒžã‚’çŸ¥ã‚‰ãªã„,8/4/2018,2018,71,88.6056338,3.04,2,6,69,91,Original,FALSE,78474,99209
473,Waka Okami wa ShÅgakusei!,,"'Slice of Life', 'Supernatural'",Japan Only,'Japan',Japanese,Japanese,è‹¥ãŠã‹ã¿ã¯å°å­¦ç”Ÿï¼,8/4/2018,2018,1584,60.96527778,4.457,1,6,1583,61,Others,FALSE,78459,101277
474,Lost Song,"Rin, an energetic girl who loves to eat, lives in a verdant frontier village.

Deep within the royal palace in the bustling capital city, the songstress Finis spends her days in solitude.

Both share a special power no other person has. A miraculous power that can heal wounds, create water and stir the wind -- the power of song.  Guided by destiny, the two young women each face an arduous journey with the power of song.

The shadow of war looms over the kingdom, tainting even the miraculous songs with the blood of innocents.

Loved ones meet their deaths as silent screams echo through a stone prison.  As two destinies intersect, will the final song be one of despair, hope or...?",,Japan Only,'Japan',Japanese,Japanese,ãƒ­ã‚¹ãƒˆã‚½ã‚°ã‚°,8/4/2018,2018,11,8.2,9.059,11,8.2,,,,TRUE,78375,
475,Sword Art Online Alternative: Gun Gale Online,"A shy university student in Tokyo, Karen Kohiruimaki stands in stark contrast to her in-game avatarâ€”in fact, she happens to stand above everyone else too, much to her dismay. Towering above all the people around her, Karen's insecurities over her height reach the point where she turns to the virtual world for an escape. Starting game after game in hopes of manifesting as a cute, short character, she finally obtains her ideal self in the world of Gun Gale Online. Overjoyed by her new persona, she pours her time into the game as LLENN, garnering her reputation as the legendary player killer. However, when one of LLENN's targets gets the best of her, she ends up meeting Pitohui, a skilled yet eccentric woman. Pitohui insists that LLENN participates in Squad Jam, a battle royale. Thrust into the heated competition, LLENN must fight with all her wit and will if she hopes to shoot her way to the top.","'Action', 'Fantasy', 'Sci-Fi'",Japan Only,'Japan',Japanese,Japanese,ã‚½ãƒ¼ãƒ‰ã‚¢ãƒ¼ãƒˆãƒ»ã‚ªãƒ³ãƒ©ã‚¤ãƒ³ ã‚ªãƒ«ã‚¿ãƒŠãƒ†ã‚£ãƒ– ã‚¬ãƒ³ã‚²ã‚¤ãƒ«ãƒ»ã‚ªãƒ³ãƒ©ã‚¤ãƒ³,8/4/2018,2018,631,57.5,33.623,135,7.9,496,71,Light Novel,FALSE,78204,95900
476,Cutie Honey Universe,"Honey Kisaragi is an amazingly humanlike and fashion conscious android with the unique ability to transform her body into a wide range of outrageous yet stylish disguises, each of which comes with its own dazzling super ability. After a run-in with a sinister secret criminal cabal organization, Panther Claw, the luscious and law-abiding Honey makes it her mission to bring them down.","'Action', 'Adventure', 'Ecchi', 'Mahou Shoujo', 'Sci-Fi'",Japan Only,'Japan',Japanese,Japanese,Cutie Honey Universe,8/4/2018,2018,4140,47.97971014,6.986,2,6,4138,48,Manga,FALSE,77729,100814
477,Caligula,"Mobius is a perfect digital world for the imagined benefit of humanity by Î¼, a virtual idol program that attained sentience and self-awareness. Only humans who are suffering in the real world and strongly relate to Î¼'s songs are lured into Mobius.  Once they enter, people often forget that the real world exists. Regardless of age or gender, they are turned into students and forced to experience school life over and over, which Î¼ considers ""the most radiant time in a person's life.""","'Action', 'Mystery', 'Sci-Fi'",Japan Only,'Japan',Japanese,Japanese,ã‚«ãƒªã‚®ãƒ¥ãƒ©,8/4/2018,2018,13563,54.98622724,6.904,4,8.3,13559,55,Video Game,FALSE,77722,100569
478,Persona 5: The Animation,"Ren Amamiya is about to enter his second year after transferring to Shujin Academy in Tokyo. Following a particular incident, his Persona awakens, and together with his friends, they form the â€œPhantom Thieves of Heartsâ€ to reform hearts of corrupt adults by stealing the source of their distorted desires. Meanwhile, bizarre and inexplicable crimes have been popping up one after anotherâ€¦ Living an ordinary high school life in Tokyo during the day, the group maneuvers the metropolitan city as Phantom Thieves after hours. Let the curtain rise for this grand, picaresque story!","'Action', 'Fantasy', 'Supernatural'",Japan Only,'Japan',Japanese,Japanese,PERSONA5 the Animation,8/4/2018,2018,37712,61.98224438,8.011,12,6.2,37700,62,Video Game,FALSE,77701,99693
479,Major 2nd,"Shigeno Daigo is an elementary student whose father, Goro, is a professional baseball player. Inspired by his father, who was once a Major League player, Daigo started playing baseball with the Mifune Dolphins, a youth team. However, he was unable to live up to the expectations of being the son of a professional, and quit baseball after less than a year. Then, in the spring of his sixth-grade year, Daigo's school welcomes a transfer student, Sato Hikaru, whose father is Sato Toshiya, a former Major League player and Goro's close friend. The fate of these two young men begins to move forward!","'Comedy', 'Drama', 'Sports'",Japan Only,'Japan',Japanese,Japanese,ãƒ¡ã‚¸ãƒ£ãƒ¼ã‚»ã‚«ãƒ³ãƒ‰,7/4/2018,2018,441,72.41043084,9.512,4,8,437,73,,FALSE,78476,86144
480,Devils' Line,"Tsukasa, a college student, is rescued from an attack by a devil, one of many vampires that can blend in among the human population. Anzai, her savior, is a half-devil who exploits his supernatural gifts as a member of a shadowy police task force that specializes in devil-related crime in Tokyo. As Anzai continues to keep guard over Tsukasa, the two quickly forge a tentative bondâ€”one that Anzai fears will test his iron-clad rule of never drinking human blood...","'Action', 'Drama', 'Horror', 'Romance', 'Supernatural'",Japan Only,'Japan',Japanese,Japanese,ãƒ‡ãƒ“ãƒ«ã‚ºãƒ©ã‚¤ãƒ³,7/4/2018,2018,3340,73.79790419,10.674,10,6.5,3330,74,Original,FALSE,78462,86648
481,Magical Girl Site,"Aya Asagiri is a middle school girl who has problems both at school with bullying and at home from physical abuse by her brother. While browsing online, a website pops up on her computer featuring a creepy looking person. This person appears to take pity on her, and announces that she has granted Asagiri magical powers.","'Drama', 'Horror', 'Mahou Shoujo', 'Psychological', 'Supernatural'",Japan Only,'Japan',Japanese,Japanese,é­”æ³•å°‘å¥³ã‚µã‚¤ãƒˆ,7/4/2018,2018,5056,65.62547468,14.36,119,8.6,4937,67,Original,FALSE,77702,85666
482,Wacky TV Na Na Na,An adult comedy series about a film crew of banana men who work for a television station. In order to boost ratings they have to follow the absurd requests of the boss.,"'Adventure', 'Comedy'",Japan Only,'Japan',Japanese,Japanese,ãƒ†ãƒ¬ãƒ“é‡ŽéƒŽ ãƒŠãƒŠãƒ¼ãƒŠ,6/4/2018,2018,435,57,0.94,0,0,435,57,Original,FALSE,91039,112004
483,Gurazeni: Money Pitch,"This is the story of Natsunosuke Honda, a pro baseball playerâ€”a relief pitcher who has been playing pro in a team called Spiders for 8 years. The team operates as a highly-stratified society, where the player's performance determines his annual salary. Natsunosuke is one of the highest paid players in the game. He measures how good players are by how much money they make, and he intends to be on top and stay there, and as such is always looking for players to challenge and does everything to insure that he is better than they are.",'Sports',Japan Only,'Japan',Japanese,Japanese,ã‚°ãƒ©ã‚¼ãƒ‹,6/4/2018,2018,56,78.75,2.863,1,10,55,80,Original,FALSE,78470,69757
484,MEGALOBOX,"A desolate land stretches out from the city of poverty. A motorcycle speeds recklessly, blowing clouds of sand and dust. The rider is the protagonist of this story â€“ he has neither a name nor a past. All he has is his ring name, â€œJunk Dogâ€ and a technique for rigging MEGALOBOX matches with his pal Gansaku Nanbu, which they use to support their hand-to-mouth lives. JD is bored, resigned, and unfulfilled. Yuri has been the reigning champion of MEGALOBOX for the past few years. He has the skills and presence of a true champion. This is a story of JD and his rival, Yuri.","'Action', 'Drama', 'Sci-Fi', 'Sports'",Japan Only,'Japan',Japanese,Japanese,ãƒ¡ã‚¬ãƒ­ãƒœã‚¯ã‚¹,6/4/2018,2018,60968,76.87003838,23.356,115,8.1,60853,77,Original,FALSE,77939,100298
485,My Sweet Tyrant,"The romantic comedy follows the everyday life of an extremely tsundere boy named Atsuhiro ""Akkun"" Kagari and his girlfriend Non ""Nontan"" Katagiri. Akkun's behavior is harsh towards Nontan with verbal abuse and neglect, but he actually is head-over-heels for her and habitually acts like a stalker by tailing her or eavesdropping. Nontan is oblivious to Akkun's stalker ways, and thinks his actions are cute.","'Comedy', 'Romance'",Japan Only,'Japan',Japanese,Japanese,ã‚ã£ãã‚“ã¨ã‚«ãƒŽã‚¸ãƒ§,6/4/2018,2018,21302,65.98629237,9.024,5,7.6,21297,66,Manga,FALSE,77723,100645
486,Hinamatsuri,"One night, a strange object falls on the head of Nitta, a member of the yakuza. Inside the box is a strange young girl named Hina. She has tremendous supernatural powers, and Nitta finds himself reluctantly taking her in. Her powers can come in handy for his yakuza business, but he also runs the risk of her using them on him! Not to mention, if she doesn't use her powers, she will eventually go berserk and destroy everything around her. Nitta and Hina's strange life together is just beginning...","'Comedy', 'Slice of Life', 'Supernatural'",Japan Only,'Japan',Japanese,Japanese,ãƒ’ãƒŠã¾ã¤ã‚Š,6/4/2018,2018,9083,83.60829021,16.34,47,8.3,9036,84,Original,FALSE,76758,66413
487,Aikatsu Friends!,"Aine YÅ«ki is good at making friends, and is enrolled in Star Harmony Academy's general education track. She befriends Mio Minato, the school's top idol, and becomes an idol herself.",'Music',Japan Only,'Japan',Japanese,Japanese,ã‚¢ã‚¤ã‚«ãƒ„ãƒ•ãƒ¬ãƒ³ã‚º!,5/4/2018,2018,2791,71.97671086,7.908,1,7,2790,72,Original,FALSE,79024,101043
488,Dances with the Dragons,"Gayus and the beautiful but cruel sword-wielder Gigina are ""special equationists,"" individuals that manipulate the equations that govern world's laws thus allowing fantastic and deadly results. These two bounty hunters are caught up in a battle with dragons in the city of Eridana and in the intrigue of great nations.","'Action', 'Fantasy'",Japan Only,'Japan',Japanese,Japanese,ã•ã‚Œã©ç½ªäººã¯ç«œã¨è¸Šã‚‹,5/4/2018,2018,49,67.40816327,2.8,2,6.5,47,70,Light Novel,FALSE,78469,43363
489,Comic Girls,"Kaoruko Moeta is a 15-year-old high school student and 4-panel manga artist. After moving to a dorm especially for female manga artists, she meets shoujo manga artist Koyume, teen romance manga artist Ruki, and shounen manga artist Tsubasa. Every day, they'll work all through the night trying to ink and finish their work!","'Comedy', 'Slice of Life'",Japan Only,'Japan',Japanese,Japanese,ã“ã¿ã£ããŒãƒ¼ã‚‹ãš,5/4/2018,2018,987,73.11357649,8.144,13,6.7,974,74,Original,FALSE,77698,87369
490,Tada Never Falls in Love,"Love has never really been a concern for Mitsuyoshi Tada, and as the aspiring photographer enters his second year of high school. However, things just might change after he meets a foreigner named Teresa Wagner. Nevertheless, after she asks him to photograph her, the two soon separate... only to meet each other again twice more that day! Finding Teresa just as she is caught in a sudden downpour, Tada invites her to his family's coffee shop to dry off. There, she explains that she was separated from her traveling companion, Alec. When Teresa reunites with Alec shortly after, they say their goodbyes - but the two unexpectedly show up as transfer students in his class the next day.

Teresa and Alec quickly get used to their lives at the High School and decide to join Tada in the photography club. With these two  additions to his equally eccentric group of friends, Tada's second year of high school is about to get even livelier, and he might need to start rethinking his approach to love.","'Comedy', 'Romance', 'Slice of Life'",Japan Only,'Japan',Japanese,Japanese,å¤šç”°ãã‚“ã¯æ‹ã‚’ã—ãªã„,5/4/2018,2018,36904,71.89878604,8.701,58,7.6,36846,72,Original,FALSE,75975,100179
491,Alice or Alice,"This story gives a look at the daily life of a pair or Alice twins and their older brother who has a sister complex. Them eating meals, getting into fights, playing with friends... Would you like to peek at the heart-full daily life of the cute Alices?","'Comedy', 'Slice of Life'",Japan Only,'Japan',Japanese,Japanese,ã‚ã‚Šã™orã‚ã‚Šã™,4/4/2018,2018,7103,46.98873715,2.937,2,7,7101,47,Manga,FALSE,78456,99638
492,Love To-LIE-Angle,"When Natsuno Hanabi went back to her hometown to study in high school, she thought that she will have a new wonderful life. But Tachibanakan, the dormitory she was going to live in, was not what she expected.","'Comedy', 'Ecchi', 'Slice of Life'",Japan Only,'Japan',Japanese,Japanese,ç«‹èŠ±é¤¨To Lieã‚ã‚“ãã‚‹,4/4/2018,2018,986,64.70081136,5.513,5,6,981,65,Original,FALSE,77724,86908
493,Real Girl,"Tsutsui Hikari (a.k.a ""Tsuttsun"") is a high school student who is content with his virtual life of anime and video games. One day, he gets stuck cleaning the pool with Iroha, a real live girl who is stylish, sassy and known to be easy with boys ... and she aggressively approaches him! Tsuttsun, who has few friends and lives in his own world, finds himself smitten by the confident and wild Iroha ... and his whole world is turned upside down!! It's the awkward and pure love story of a boy who experiences relationship for the first time.",'Romance',Japan Only,'Japan',Japanese,Japanese,ï¼“ï¼¤å½¼å¥³ã€€ãƒªã‚¢ãƒ«ã‚¬ãƒ¼ãƒ«,4/4/2018,2018,4046,66.33405833,38.215,304,8.9,3742,71,Original,FALSE,77721,80767
494,Space Battleship Tiramisu,"The Earth Union is locked in a massive galactic war. Aboard the Space Battleship Tiramisu, ace pilot Subaru Ichinose carries the fate of humanity on his shoulders. Life for Subaru is tough. But nothing relieves tension quite like launching an all-out food-based assault on his own face. Snug as a bug in a rug, Subaru soothingly unwinds in his personal mecha, â€œDurandal F,â€ as bliss overtakes him.","'Comedy', 'Mecha', 'Sci-Fi', 'Slice of Life'",Japan Only,'Japan',Japanese,Japanese,å®‡å®™æˆ¦è‰¦ãƒ†ã‚£ãƒ©ãƒŸã‚¹,3/4/2018,2018,5516,59.98114576,8.156,2,8,5514,60,Manga,FALSE,78461,100009
495,Captain Tsubasa,"The passionate story of an elementary school student whose thoughts and dreams revolve almost entirely around the love of soccer. 11-year-old Tsubasa Oozora started playing football at a very young age, and while it was mostly just a recreational sport for his friends, for him, it developed into something of an obsession.  In order to pursue his dream to the best of his elementary school abilities, Tsubasa moves with his mother to Nankatsu city, which is well-known for its excellent elementary school soccer teams. But although he was easily the best in his old town, Nankatsu has a lot more competition, and he will need all of his skill and talent in order to stand out from this new crowd.

He encounters not only rivals, but also new friends like the pretty girl Sanae Nakazawa and the talented goalkeeper, Genzo Wakabayashi, who shares the same passion as Tsubasa, and will prove to be a treasured friend in helping him push towards his dreams. Representing Japan in the FIFA World Cup is Tsubasaâ€™s ultimate dream, but it will take a lot more than talent to reach it.",'Sports',Japan Only,'Japan',Japanese,Japanese,ã‚­ãƒ£ãƒ—ãƒ†ãƒ³ç¿¼,3/4/2018,2018,3127,62.63770387,79.531,279,7.9,2848,68,Manga,FALSE,77240,1674
496,Gundam Build Divers,"The Gunpla Force Battle Tournament is a big event held in GBN once per year. Competing in the final round are Avalon, led by the champion Kyoya Kujo, and the elite 7th Panzer Division led by the cunning Rommel. Starting with Kyoya's Gundam AGE II Magnum, a variety of Gunpla take to the field to determine which is the strongest force!","'Action', 'Mecha', 'Sci-Fi'",Japan Only,'Japan',Japanese,Japanese,ã‚¬ãƒ³ãƒ€ãƒ ãƒ“ãƒ«ãƒ‰ãƒ€ã‚¤ãƒãƒ¼ã‚º,3/4/2018,2018,4628,59.95548833,8.904,4,8.5,4624,60,Original,FALSE,76821,101036
497,Kakuriyo -Bed & Breakfast for Spirits-,"After losing her grandfather, Aoiâ€”a girl who can see spirits known as ayakashiâ€”is suddenly approached by an ogre. Demanding she pay her grandfatherâ€™s debt, he makes a huge request: her hand in marriage! Refusing this absurd offer, Aoi decides to work at the Tenjin-ya bed and breakfast for the ayakashi to pay back what her family owes.","'Drama', 'Supernatural'",Japan Only,'Japan',Japanese,Japanese,ã‹ãã‚Šã‚ˆã®å®¿é£¯,2/4/2018,2018,17045,71.97019654,15.66,8,8.5,17037,72,Light Novel,FALSE,78483,100500
498,Umamusume: Pretty Derby,"In a world very much like our own, great race horses of the past have a chance to be reborn as ""horse girls""â€”girls with the ears and tails of horses as well as their speed and endurance. The best of these horse girls go to train at Tokyo's Tracen Academy, hopefully moving on to fame and fortune as both racers and idols.

Special Week, a high school horse girl from the countryside, has just transferred to Tracen, and she's determined to fulfill her promise to her mother to become the best horse girl in Japan. On her way to school, she takes a pit stop at the race track and instantly falls in love with Silence Suzuka's style, becoming determined to race on the same team as her.","'Drama', 'Slice of Life', 'Sports'",Japan Only,'Japan',Japanese,Japanese,ã‚¦ãƒžå¨˜ ãƒ—ãƒªãƒ†ã‚£ãƒ¼ãƒ€ãƒ¼ãƒ“ãƒ¼,2/4/2018,2018,19355,70.87104107,11.284,40,8.6,19315,71,Video Game,FALSE,77694,98514
499,Gegege no Kitarou,"In the Japanese modern era, almost every people has forgotten about Youkai.","'Adventure', 'Comedy', 'Fantasy', 'Horror', 'Supernatural'",Japan Only,'Japan',Japanese,Japanese,ã‚²ã‚²ã‚²ã®é¬¼å¤ªéƒŽ,1/4/2018,2018,725,62.392,14.268,8,7.9,717,63,Manga,FALSE,76759,5688
500,The Legend of the Galactic Heroes: Die Neue These,"In humanity's distant future, two interstellar statesâ€”the monarchic Galactic Empire and the democratic Free Planets Allianceâ€”are embroiled in a never-ending war. The story focuses on the exploits of rivals Reinhard von MÃ¼sel and Yang Wen Li as they rise to power and fame in the Galactic Empire and the Free Planets Alliance.","'Action', 'Drama', 'Sci-Fi'",Japan Only,'Japan',Japanese,Japanese,éŠ€æ²³è‹±é›„ä¼èª¬ Die Neue These é‚‚é€…,31/3/2018,2018,13896,72.94326425,13.666,12,7.3,13884,73,Light Novel,FALSE,74018,20628
501,Sonic Mania Adventures,Classic Sonic is back to his dimension after the events of Sonic Forces. He discovers Eggman is collecting the Chaos Emeralds and already has four of them. Sonic must gather all the Chaos Emeralds before Eggman.,,Japan Only,'Japan',English,English,Sonic Mania Adventures,30/3/2018,2018,6,9.3,2.639,6,9.3,,,,TRUE,78414,
502,éžäººå“‰,,,Japan Only,'Japan',Other Asian Languages,Chinese,éžäººå“‰,29/3/2018,2018,2,8,0.694,2,8,,,,TRUE,94039,
503,Last Hope,"After causing the near extinction of mankind seven years ago, genius scientist Leon Lau must now fight the ecological disaster he unwittingly created.","'Mecha', 'Sci-Fi'",Japan Only,'Japan',Japanese,Japanese,é‡ç¥žæ©Ÿãƒ‘ãƒ³ãƒ‰ãƒ¼ãƒ©,29/3/2018,2018,5892,56.91242363,6.737,10,5.4,5882,57,Original,FALSE,78434,100341
504,Magical Girl Ore,"""Love makes a girl stronger."" Saki Uno is working hard as part of the new idol unit, Magical Twin. The one she admires most is Mohiro Mikage, whoâ€™s the older brother of her idol unit partner Sakuyo, and heâ€™s also a member of the top idol unit STARâ˜†PRINCE. She would be willing to do anything for him, and one day, those feelings brought on a miracle. Saki ended up turning into a magical girl when she strongly wished to protect someone... But what she turned into wasnâ€™t exactly what she was expecting...","'Comedy', 'Fantasy', 'Mahou Shoujo'",Japan Only,'Japan',Japanese,Japanese,é­”æ³•å°‘å¥³ ä¿º,25/3/2018,2018,563,59.09698046,7.058,58,7.7,505,65,Original,FALSE,76142,86899
505,SWORD GAI: The Animation,"A young man becomes host to a legendary infernal sword and, with the fate of humanity now in his arm, wields its demonic power against his enemies.",,Japan Only,'Japan',Japanese,Japanese,ã‚½ãƒ¼ãƒ‰ã‚¬ã‚¤,23/3/2018,2018,12,6.8,10.202,12,6.8,,,,TRUE,78239,
506,A.I.C.O. -Incarnation-,"In Japan in the year 2035, an accident known as the ""Burst"" occurs during a research project, spawning an out-of-control artificial life form called ""Matter"" that has spread throughout the Kurobe Gorge. The research city that was once hailed as the hope for humanity is cordoned off by the government. Two years later, 15-year-old Aiko Tachibana, who lost her family in the Burst, learns something unbelievable from Yuya Kanzaki, a new student at her school. A secret is hidden within her body, and the answer to the puzzle lies at the ""Primary Point"" that was the center of the Burst. Aiko resolves to infiltrate the restricted area, escorted by a team of divers and with Yuya as her guide. When boy meets girl with the fate of humanity in their hands, what new truth will come to light?","'Action', 'Sci-Fi'",Japan Only,'Japan',Japanese,Japanese,A.I.C.O. Incarnation,9/3/2018,2018,15854,63.90190488,14.896,27,6.4,15827,64,Original,FALSE,77778,99725
507,B: The Beginning,"In a world powered by advanced technology, crime and action unfold in the archipelagic nation of Cremona. Genius investigator Keith Flick rejoins the royal police force just as serial killer ""B"" emerges. Mysterious youth Koku may be an ally, or a target.","'Action', 'Mystery', 'Psychological', 'Supernatural', 'Thriller'",Japan Only,'Japan',Japanese,Japanese,B: The Beginning,2/3/2018,2018,44091,70.87978499,58.504,84,7.9,44007,71,Original,FALSE,77529,21665
508,ReLIFE: Kanketsu-hen,"After reliving the life of a high school student through the ReLIFE experiment, 27-year-old Arata Kaizaki cannot believe how quickly it has changed him. He has begun to see the world through a different perspective that he had completely forgotten as an adult. He has made friends and formed deep relationships with each one of them. However his support, Ryou Yoake, reminds him that the experiment is all an illusion; after his experiment ends, he will be forgotten by all of them.

The experiment of another ReLIFE subject is also coming to an end. After spending two years with ReLIFE, Chizuru Hishiro has developed into a more open, more thoughtful person than she could have ever imagined. She has met people who have changed her life, her perspective, and ultimately her. However, now that their ReLIFE is coming to an end, will they be able to let go of the memories they have made?",,Japan Only,'Japan',Japanese,Japanese,ReLIFE: Kanketsu-hen,18/2/2018,2018,2,6.5,2.098,2,6.5,,,,TRUE,113938,
509,IDOLiSH7 Vibrato,"Introducing IDOLiSH7 Vibrato! Based on the popular music game, this YouTube original series features new stories depicting the lives of the namesake idol group IDOLiSH7 and their journey to becoming superstars in Japan.","'Comedy', 'Drama', 'Music', 'Slice of Life'",Japan Only,'Japan',Japanese,Japanese,ã‚¢ã‚¤ãƒ‰ãƒªãƒƒã‚·ãƒ¥ã‚»ãƒ–ãƒ³ Vibrato,17/2/2018,2018,2023,79,1.96,0,0,2023,79,Video Game,FALSE,117534,101169
510,The Seven Heavenly Virtues,"Heaven has been thrown into chaos, and in the ashes, seven angels known as the Seven Heavenly Virtues, are sent to Earth to search for a candidate who can become the ""true messiah"".","'Ecchi', 'Fantasy'",Japan Only,'Japan',Japanese,Japanese,ä¸ƒã¤ã®ç¾Žå¾³,27/1/2018,2018,7106,45.97793414,13.909,4,6.8,7102,46,Others,FALSE,76138,100644
511,Fate/Extra Last Encore,"Hakuno Kishinami finds himself in the midst of a Holy Grail war with no memories of how he got there. Through his confusion, he must fight to survive.",,Japan Only,'Japan',Japanese,Japanese,ãƒ•ã‚§ã‚¤ãƒˆ/ã‚¨ã‚¯ã‚¹ãƒˆãƒ© Last Encore,27/1/2018,2018,40,7.3,11.537,40,7.3,,,,TRUE,76123,
512,Akuma no Memumemu-chan,,'Comedy',Japan Only,'Japan',Japanese,Japanese,æ‚ªé­”ã®ãƒ¡ãƒ ãƒ¡ãƒ ã¡ã‚ƒã‚“,23/1/2018,2018,72,69.09722222,1.255,1,5,71,70,Original,FALSE,95034,97960
513,Killing Bites,,"'Action', 'Ecchi', 'Horror', 'Sci-Fi'",Japan Only,'Japan',Japanese,Japanese,ã‚­ãƒªãƒ³ã‚°ãƒã‚¤ãƒ„,13/1/2018,2018,2367,64.08542459,11.814,78,7.9,2289,66,Original,FALSE,76130,85639
514,DARLING in the FRANXX,"The story is set in the distant future. The land is ruined, and humanity establishes the mobile fort city Plantation. Pilots produced inside Plantation live in Mistilteinn, also know as the ""birdcage."" Children live there knowing nothing of the outside world or the freedom of the sky. Their lives consist of battling to carry out missions. Their enemies are mysterious giant lifeforms known as Kyouryuu, and the children pilot robots called Franxx to face off against them. For the children, riding the Franxx proves their existence.

A boy named Hiro is called Code:016, and he was once known as a prodigy. However, he has fallen behind, and his existence seems unnecessary. Not piloting a Franxx is the same as ceasing to exist. One day, a mysterious girl known as ""Zero Two"" appears before him. Two horns grow out of her head.","'Action', 'Drama', 'Mecha', 'Psychological', 'Romance', 'Sci-Fi'",Japan Only,'Japan',Japanese,Japanese,ãƒ€ãƒ¼ãƒªãƒ³ãƒ»ã‚¤ãƒ³ãƒ»ã‚¶ãƒ»ãƒ•ãƒ©ãƒ³ã‚­ã‚¹,13/1/2018,2018,190943,70.64590794,106.631,1087,8.8,189856,71,Original,FALSE,76121,99423
515,Takunomi,20-year-old Michiru Amatsuki moved to Tokyo due to a change of career. She decided to live in a woman-only share house Stella House Haruno with people of different age and occupations. It's always fun when there's delicious alcohol and meal!!,"'Comedy', 'Slice of Life'",Japan Only,'Japan',Japanese,Japanese,ãŸãã®ã¿ã€‚,13/1/2018,2018,8068,59.98018096,7.458,3,6.7,8065,60,Manga,FALSE,76076,99753
516,Beatless,"Most of the world's needs are fulfilled by humanoid robots called hIE's. One day, 17-year-old Arato Endo meets the android Lacia and becomes her owner. She is one of five androids with advanced AI. Each of the five units have their own motivations, and fight to gain each other's abilities. What will the relationship between man and machine be moving forward? That is something Arato must find.","'Action', 'Drama', 'Romance', 'Sci-Fi'",Japan Only,'Japan',Japanese,Japanese,ãƒ“ãƒ¼ãƒˆãƒ¬ã‚¹,13/1/2018,2018,244,66.87213115,11.853,12,6.4,232,70,Original,FALSE,76062,89836
517,How to Keep a Mummy,"Kashiwagi Sora is living a normal high school student life, when his ""adventurer"" father sends him a mummy from his travels in Egypt! Sora balks at the letter from his crazy dad (""I found a cool mummy, so I decided to leave it with you, son!"") at first, but the mummy that emerges from inside the huge coffin is a mere 12 centimeters tall--small enough to fit in the palm of his hand... Not only that, it's shy, a crybaby, and most of all, heckin' cute. And so, Sora and ends up keeping the mummy, naming his new little buddy ""Mii-kun."" But living with a mummy might be easier said than done...!","'Comedy', 'Slice of Life', 'Supernatural'",Japan Only,'Japan',Japanese,Japanese,ãƒŸã‚¤ãƒ©ã®é£¼ã„æ–¹,12/1/2018,2018,605,62.38842975,45.386,122,8.5,483,76,Original,FALSE,76132,87444
518,Hakumei and Mikochi,"In a world inhabited by people only a few inches tall, young women Hakumei and Mikochi live together in a house built into a tree. Hakumei is an energetic and tomboyish carpenter, while Mikochi is a feminine and calm tailor. Despite their differences, they get along well and spend their days having fun living their lives in the woods.

The two of them spend their time working, going on sightseeing adventures, and taking shopping trips into Tsumiki Marketplace by the ocean. They make many friends along the way, be they sentient woodland creatures like Iwashi the Weasel or fellow miniature people such as the songstress Konju and the inventor Sen.

This is a relaxing look into the day-to-day lives of its titular characters as they explore and interact with their tiny world which seems to be straight out of a fairy tale.","'Fantasy', 'Slice of Life'",Japan Only,'Japan',Japanese,Japanese,ãƒã‚¯ãƒ¡ã‚¤ã¨ãƒŸã‚³ãƒ,12/1/2018,2018,1468,79.60544959,11.26,8,7.6,1460,80,Original,FALSE,76127,86623
